path,condition,test_type,cell,visit,test_id,rpt_T_degC,size_MB,DOD_pct,C_ch,C_dis,T_degC
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/CU_at_25degC/S2000FQ0EW_CU_at25degC_V12_5334.ird,DOD100_1C1C_25degC,CU,S2000FQ0EW,12,5334,25,15.283,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/CU_at_25degC/S2000FQ0EW_CU_at25degC_V14_5386.ird,DOD100_1C1C_25degC,CU,S2000FQ0EW,14,5386,25,15.152,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/CU_at_25degC/S2000FQ0EW_CU_at25degC_V16_5420.ird,DOD100_1C1C_25degC,CU,S2000FQ0EW,16,5420,25,14.999,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/Cycling_Periods/S2000FM42G_CYC_at25degC_V01_4930.ird,DOD100_1C1C_25degC,CYC,S2000FM42G,1,4930,25,16.574,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/Cycling_Periods/S2000FM42G_CYC_at25degC_V03_5008.ird,DOD100_1C1C_25degC,CYC,S2000FM42G,3,5008,25,16.637,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/Cycling_Periods/S2000FM42G_CYC_at25degC_V04_5072.ird,DOD100_1C1C_25degC,CYC,S2000FM42G,4,5072,25,15.571,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/Cycling_Periods/S2000FM42G_CYC_at25degC_V05_5090.ird,DOD100_1C1C_25degC,CYC,S2000FM42G,5,5090,25,16.804,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/Cycling_Periods/S2000FM42G_CYC_at25degC_V07_5158.ird,DOD100_1C1C_25degC,CYC,S2000FM42G,7,5158,25,16.867,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/Cycling_Periods/S2000FM42G_CYC_at25degC_V09_5234.ird,DOD100_1C1C_25degC,CYC,S2000FM42G,9,5234,25,17.206,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/Cycling_Periods/S2000FM42G_CYC_at25degC_V11_5288.ird,DOD100_1C1C_25degC,CYC,S2000FM42G,11,5288,25,17.449,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/Cycling_Periods/S2000FM42G_CYC_at25degC_V13_5348.ird,DOD100_1C1C_25degC,CYC,S2000FM42G,13,5348,25,17.856,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/Cycling_Periods/S2000FM42G_CYC_at25degC_V15_5396.ird,DOD100_1C1C_25degC,CYC,S2000FM42G,15,5396,25,18.194,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/Cycling_Periods/S2000FNX7G_CYC_at25degC_V01_4929.ird,DOD100_1C1C_25degC,CYC,S2000FNX7G,1,4929,25,16.578,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/Cycling_Periods/S2000FNX7G_CYC_at25degC_V03_5005.ird,DOD100_1C1C_25degC,CYC,S2000FNX7G,3,5005,25,16.653,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/Cycling_Periods/S2000FNX7G_CYC_at25degC_V05_5089.ird,DOD100_1C1C_25degC,CYC,S2000FNX7G,5,5089,25,16.838,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/Cycling_Periods/S2000FNX7G_CYC_at25degC_V07_5157.ird,DOD100_1C1C_25degC,CYC,S2000FNX7G,7,5157,25,16.917,100.0,1.0,1.0,25.0
/media/kabir/Research/Project/sodium battery /Data_Failure_Mode_and_Degradation_Analysis_of_a_Commercial_Sodium-Ion_Battery_With_Severe_Gassing_Issue/Standard cycling/DOD100_1C1C_25degC/Cycling_Periods/S2000FNX7G_CYC_at25degC_V09_5233.ird,DOD100_1C1C_25degC,CYC,S2000FNX7G,9,5233,25,17.269,100.0,1.0,1.0,25.0
